Date;rent_CH5YRetCHF_Acum;DE5YRetAcu;CH5YRetAcuCHF;ES5YRetAcu
16/07/2010;12.75069756;12.6824708;8.107673257;-2.9060698
23/07/2010;12.45752842;12.36133226;7.890122219;-2.130517152
30/07/2010;12.45782271;12.42870197;7.890344538;0.460353685
06/08/2010;12.8179318;13.33006513;8.153061489;1.402507508
13/08/2010;13.33262365;14.27928284;8.524202289;-1.612381684
20/08/2010;13.66082552;14.43094834;8.776272317;-0.438392894
27/08/2010;13.48110778;14.41224584;8.642079034;-2.60423866
03/09/2010;12.98130005;14.38878786;8.253430699;-1.057643117
10/09/2010;12.01652231;14.21798221;7.50675222;-1.734619471
17/09/2010;11.70167288;13.95646848;7.267568546;-1.924540332
24/09/2010;12.36182191;13.91785249;7.762004543;-2.119232551
01/10/2010;12.22826752;13.59191049;7.661555558;-1.436332896
08/10/2010;12.36556904;14.07273901;7.764737986;-0.480648854
15/10/2010;12.4043588;13.78107187;7.793845656;0.101643316
22/10/2010;12.15108283;12.5561448;7.608174521;-0.092126865
29/10/2010;12.17431367;12.3749303;7.624950896;-1.139694061
05/11/2010;12.61938664;13.52226832;7.938262489;-5.878556568
12/11/2010;12.20187713;13.42964093;7.628375709;-6.506385564
19/11/2010;12.01334524;12.03072306;7.491704757;-8.268892331
26/11/2010;11.59574165;12.65058925;7.192373318;-13.3649486
03/12/2010;11.23665048;12.38974991;6.909416659;-10.66737604
10/12/2010;11.10771941;11.52746617;6.813653835;-14.42568945
17/12/2010;10.43450046;11.39878245;6.287443144;-14.98078318
24/12/2010;11.08425964;12.19951952;6.802081167;-14.43077491
31/12/2010;10.7643999;12.52529263;6.546793432;-14.99957325
07/01/2011;10.92941865;12.74706148;6.67686897;-16.41945807
14/01/2011;10.29010113;10.36912943;6.160438331;-12.83378978
21/01/2011;10.37662468;9.336499668;6.228198448;-10.4863017
28/01/2011;10.2066392;9.008379954;6.097789268;-12.26229495
04/02/2011;10.17011852;8.569900732;6.068506867;-8.218696924
11/02/2011;10.23880108;8.759880282;6.119461544;-10.38819771
18/02/2011;10.05381042;9.079007954;5.975876273;-10.0177557
25/02/2011;10.1738985;9.149048092;6.06921876;-10.66599635
04/03/2011;10.17426914;7.77205399;6.06950653;-10.19804298
11/03/2011;10.39194435;8.466586086;6.238669608;-9.544476119
18/03/2011;10.68150089;8.646647162;6.470755925;-6.872057406
25/03/2011;10.32488915;8.001565188;6.195490005;-7.18713705
01/04/2011;9.610993926;7.19736587;5.65908495;-8.910951698
08/04/2011;8.867131204;6.733522159;5.085120573;-8.258095593
15/04/2011;8.935381388;7.31746783;5.136821384;-10.71499428
22/04/2011;9.019905827;7.763898185;5.201336498;-12.18942044
29/04/2011;9.144204405;7.885397809;5.300157433;-10.1660225
06/05/2011;9.625802179;7.953574996;5.679897062;-10.59610287
13/05/2011;10.0182732;8.714303464;5.989997373;-10.73190527
20/05/2011;9.850267923;8.801339427;5.858745826;-13.82991248
27/05/2011;10.36285086;9.78132472;6.282172067;-12.95521817
03/06/2011;10.61701923;9.043062246;6.494177711;-10.97745006
10/06/2011;11.41638534;10.14561838;7.132510093;-13.73633075
17/06/2011;11.65454645;10.38919451;7.326201428;-14.81307503
24/06/2011;11.72083755;11.48492198;7.38101773;-16.93683171
01/07/2011;11.65656314;9.559688476;7.326461978;-12.50725763
08/07/2011;11.88644884;11.45334604;7.51125178;-16.43272533
15/07/2011;12.43588282;12.46829544;7.959049986;-21.95856033
22/07/2011;12.58691791;11.42012943;8.093415518;-17.1082697
29/07/2011;13.67061738;13.21998186;8.98994544;-22.70332047
05/08/2011;14.04428003;14.57218072;9.324360253;-24.2871894
12/08/2011;13.39993343;14.69806468;8.672317565;-12.79435042
19/08/2011;15.03877966;15.91332123;10.0944212;-13.3445087
26/08/2011;15.2888796;16.07543609;10.30867816;-12.98341523
02/09/2011;15.18586639;16.8769535;10.2182118;-14.80155962
09/09/2011;15.20113511;18.15702506;10.23069954;-16.07304046
16/09/2011;15.05135093;17.26130971;10.10707746;-16.49586602
23/09/2011;15.97663164;18.08623068;10.86353862;-15.8357934
30/09/2011;15.83345172;16.33961753;10.74415978;-14.65390876
07/10/2011;15.73274224;15.84600628;10.66179168;-13.32053136
14/10/2011;14.80597434;14.90334211;9.918359794;-14.74931849
21/10/2011;15.02560492;15.33947258;10.09197947;-17.66480222
28/10/2011;15.38805236;15.27041115;10.3900635;-16.94799011
04/11/2011;15.87783912;17.76216068;10.77594349;-20.45901994
11/11/2011;16.0570489;17.42971153;10.91597385;-23.51086503
18/11/2011;16.2981526;17.53797514;11.10120046;-28.14905599
25/11/2011;16.11740413;16.24027429;10.96137349;-32.97483267
02/12/2011;16.26894345;17.45710437;11.09729093;-22.14545458
09/12/2011;16.95453988;17.37407479;11.63937494;-23.88824997
16/12/2011;16.67667179;18.5749714;11.39713485;-17.7886236
23/12/2011;16.5569804;18.21949566;11.29869084;-17.38027527
30/12/2011;16.43058206;18.91263696;11.1917739;-14.8010776
06/01/2012;16.00834442;18.59238955;10.86699182;-21.64770484
13/01/2012;16.02239155;18.64720943;10.87938314;-15.16199026
20/01/2012;15.63219812;17.57931608;10.55375139;-14.67791897
27/01/2012;15.51474939;18.10699908;10.45070509;-8.97580836
03/02/2012;15.51988006;17.34401764;10.45488696;-10.59213468
10/02/2012;15.38680581;17.34418661;10.34748746;-13.12283466
17/02/2012;15.55631884;16.98477305;10.48784336;-12.96068575
24/02/2012;15.35662083;17.34857233;10.31865876;-11.04553559
02/03/2012;15.70578563;17.63709165;10.61174267;-9.434757493
09/03/2012;15.76116005;17.77139412;10.65728241;-10.2085498
16/03/2012;14.84725098;15.89415346;9.900986741;-11.16210298
23/03/2012;15.19416127;17.09127181;10.17946058;-14.1642833
30/03/2012;15.35784645;17.76803857;10.31251914;-16.16172052
06/04/2012;15.81057815;18.34805133;10.67313743;-20.15244755
13/04/2012;16.06864549;18.61022764;10.88060986;-23.23697819
20/04/2012;15.70917055;18.68958277;10.5774132;-22.16250186
27/04/2012;16.00916304;18.72428088;10.82650755;-22.1908322
