Date;rent_CH2Y10YRetCHF_Acum;DEST2Y10YAcu;CHST2Y10YAcu;ESST2Y10YAcu
30/07/2010;0.774240773;2.858003157;0.75967466;5.155303331
06/08/2010;0.683039051;2.727060145;0.668313777;5.078305975
13/08/2010;0.477322451;2.936654467;0.462326098;5.409290307
20/08/2010;0.214048997;2.703130955;0.199073885;5.476410007
27/08/2010;0.186916521;2.488465672;0.171912229;5.124919334
03/09/2010;0.341928117;2.791819864;0.326990388;4.769803156
10/09/2010;0.7616002;2.685263249;0.747203457;4.424230092
17/09/2010;0.460029148;2.61181735;0.44547248;4.657452987
24/09/2010;0.448673876;2.475059702;0.434105414;4.620360954
01/10/2010;0.405720136;2.133876983;0.39111619;4.703777497
08/10/2010;0.347149066;2.057672528;0.332504718;4.688097934
15/10/2010;1.074877154;2.310426298;1.060558283;4.902231756
22/10/2010;1.155540498;2.149481882;1.141223563;5.198596881
29/10/2010;1.026013674;2.240026806;1.011624182;5.39323677
05/11/2010;0.896093324;2.295203211;0.881599252;5.282584349
12/11/2010;1.00219294;2.33829413;0.987742029;5.373591791
19/11/2010;0.930799221;2.5087529;0.916300315;4.727889659
26/11/2010;1.2817142;2.913932236;1.267582519;4.280082464
03/12/2010;1.247429462;3.290048666;1.233291348;4.417172454
10/12/2010;1.442429261;3.032390031;1.42835661;4.339085897
17/12/2010;1.738047068;3.176593849;1.724186471;4.396228391
24/12/2010;1.213889708;3.351724696;1.20014462;4.643016034
31/12/2010;1.28049228;3.492379451;1.26677587;4.634867071
07/01/2011;1.423980129;3.337400916;1.410313084;4.864110254
14/01/2011;1.481727348;3.197975225;1.468280675;4.909769435
21/01/2011;1.380734368;3.376811399;1.367267169;5.240361556
28/01/2011;1.255536843;3.094964547;1.242003593;5.830037222
04/02/2011;1.471772144;3.081964313;1.458308994;5.686032226
11/02/2011;1.607241625;3.324913313;1.593883936;6.092577498
18/02/2011;1.581429666;3.265854281;1.568025394;6.033232953
25/02/2011;1.582981675;2.771538551;1.569569938;6.034397919
04/03/2011;1.417723531;2.741219817;1.404210232;6.021402947
11/03/2011;1.457793607;2.774586773;1.44428593;6.662193736
18/03/2011;1.461976217;2.686644517;1.44839085;6.416078327
25/03/2011;1.329141326;2.670376529;1.315668296;6.093228435
01/04/2011;1.596722025;2.740619191;1.583281299;5.883558965
08/04/2011;1.723354948;2.826495545;1.709941723;5.728662846
15/04/2011;1.775318319;2.657249731;1.761821801;5.688409516
22/04/2011;1.816854539;2.543758814;1.803369419;5.368509673
29/04/2011;1.483738788;2.462970216;1.47004635;5.53616083
06/05/2011;1.792375144;2.195079776;1.778379504;5.363938406
13/05/2011;1.568116796;2.089224351;1.554002146;5.219887322
20/05/2011;1.714668717;2.061712309;1.700508018;5.237832785
27/05/2011;1.321723782;2.308568349;1.307452208;4.954539959
03/06/2011;1.68077769;2.23214833;1.666659038;5.159717022
10/06/2011;1.844245558;2.360951268;1.829792094;5.961658507
17/06/2011;1.903923939;2.294900753;1.889542697;6.044271237
24/06/2011;1.922159317;2.330175296;1.907662872;5.759873015
01/07/2011;1.855842399;2.195701118;1.841584292;5.700318483
08/07/2011;1.942229421;2.119759716;1.927897207;5.690237001
15/07/2011;1.838418352;2.320264025;1.819688033;5.716361646
22/07/2011;1.702280891;2.210512173;1.684288061;5.652202598
29/07/2011;1.647326482;1.923019717;1.625436708;5.727977552
05/08/2011;1.390199201;2.005908375;1.364372751;5.113770337
12/08/2011;1.778888145;2.352906622;1.753507739;4.726775086
19/08/2011;1.216490082;2.147921981;1.189451251;4.705967601
26/08/2011;1.204963583;2.080827509;1.180681378;4.796632694
02/09/2011;1.283428473;1.998981321;1.259150518;5.006102373
09/09/2011;1.30032323;1.836814074;1.276706768;4.961970633
16/09/2011;1.861201674;1.866096181;1.837962548;5.233251388
